band_name,wavelength_min_nm,wavelength_max_nm,frequency_min_ghz,frequency_max_ghz
O,1260,1360,220436,237932
E,1360,1460,205339,220436
S,1460,1530,195945,205339
C,1530,1565,191599,195945
L,1565,1625,184488,191599
U,1625,1675,178964,184488
