band_name,wavelength_min_nm,wavelength_max_nm,frequency_min_ghz,frequency_max_ghz
O_band,1260,1360,190.2,238.8
E_band,1360,1460,191.1,220.2
S_band,1460,1530,196.1,191.1
C_band,1530,1565,191.1,196.1
L_band,1565,1625,186.4,191.1
